Geschlecht,Alter,Kinder,Familienstand,Berufstaetig,Einkaufstag,Einkaufsuhrzeit,Wohnort,Haushaltsnettoeinkommen,Stammkunde,Einkaufssumme,Elektrowerkzeuge,Eisenwaren,Handwerkzeuge,Sanitaermaterial,Schliesstechnik,Fliesen,Farben,Armaturen,Renovierung,Elektromaterial,Baustoffe,Holz,Bodenbelag,Leuchten,Aktionsware
m,18-30,nein,ledig,ja,Dienstag,14-17 Uhr,< 10 km,1000-<2000,> 5,138,0,0,0,38,0,0,42,195,0,0,0,58,0,0,0
w,>60,ja,ledig,ja,Dienstag,>17 Uhr,10 - 25 km,3200-<4500,1 bis 5,526,154,0,20,0,0,0,0,0,303,52,0,0,0,72,0
m,>60,ja,ledig,nein,Samstag,14-17 Uhr,10 - 25 km,<1000,> 5,549,0,0,0,84,11,0,0,333,204,118,126,0,0,34,0
m,51-60,nein,ledig,ja,Freitag,10-12 Uhr,10 - 25 km,2000-<3200,0,320,0,0,9,87,0,0,0,230,0,0,182,42,0,0,0
w,18-30,nein,Partnerschaft,ja,Samstag,<10 Uhr,10 - 25 km,3200-<4500,1 bis 5,226,117,0,0,52,0,82,0,0,63,57,0,0,0,0,0
w,18-30,nein,Partnerschaft,ja,Mittwoch,<10 Uhr,10 - 25 km,3200-<4500,1 bis 5,576,150,21,5,2,98,114,0,91,42,195,0,0,0,33,39
m,>60,ja,ledig,ja,Mittwoch,14-17 Uhr,10 - 25 km,1000-<2000,> 5,156,0,0,0,0,0,0,0,0,78,0,0,78,0,0,0
w,31-40,nein,ledig,nein,Samstag,10-12 Uhr,< 10 km,<1000,> 5,341,136,8,8,102,12,0,0,0,57,0,0,38,0,0,0
m,41-50,nein,ledig,ja,Freitag,>17 Uhr,10 - 25 km,1000-<2000,0,369,0,2,12,0,0,0,0,0,100,0,107,0,160,0,0
w,41-50,nein,ledig,ja,Mittwoch,12-14 Uhr,10 - 25 km,3200-<4500,> 5,385,0,27,8,48,0,85,0,219,270,0,0,0,0,0,0
m,31-40,ja,Partnerschaft,ja,Samstag,>17 Uhr,10 - 25 km,1000-<2000,> 5,202,0,6,0,40,34,67,0,0,0,0,0,0,0,0,0
m,31-40,ja,Partnerschaft,ja,Freitag,10-12 Uhr,> 25 km,2000-<3200,> 5,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
w,18-30,nein,ledig,ja,Donnerstag,<10 Uhr,< 10 km,2000-<3200,1 bis 5,452,0,0,20,0,0,0,258,0,0,0,76,0,0,0,98
w,31-40,ja,ledig,nein,Freitag,12-14 Uhr,< 10 km,1000-<2000,1 bis 5,58,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0
m,31-40,nein,ledig,ja,Samstag,12-14 Uhr,> 25 km,1000-<2000,0,113,92,0,3,0,0,0,0,0,0,0,0,0,0,0,18
m,51-60,nein,ledig,nein,Freitag,10-12 Uhr,< 10 km,>4500,0,156,0,12,5,0,1,0,144,0,0,0,0,0,0,0,0
m,>60,nein,Partnerschaft,ja,Samstag,>17 Uhr,< 10 km,2000-<3200,0,459,0,0,0,111,0,0,0,228,0,0,0,0,0,0,348
w,>60,ja,ledig,nein,Freitag,10-12 Uhr,10 - 25 km,2000-<3200,> 5,424,44,6,0,93,75,0,0,77,147,70,0,72,0,0,139
m,41-50,nein,Partnerschaft,ja,Donnerstag,14-17 Uhr,< 10 km,2000-<3200,> 5,510,0,18,16,0,0,0,0,232,102,0,112,0,0,0,0
w,>60,ja,ledig,ja,Samstag,14-17 Uhr,< 10 km,<1000,> 5,204,0,0,0,0,0,0,0,0,52,9,0,0,0,0,0
m,18-30,ja,ledig,nein,Dienstag,12-14 Uhr,10 - 25 km,>4500,0,152,0,2,12,22,3,79,0,0,0,56,0,0,0,33,0
w,>60,nein,ledig,nein,Dienstag,12-14 Uhr,10 - 25 km,1000-<2000,0,248,120,14,20,80,0,192,0,84,0,0,0,34,0,0,0
m,18-30,nein,ledig,nein,Montag,12-14 Uhr,10 - 25 km,>4500,1 bis 5,1257,171,9,0,102,63,119,0,0,124,105,546,24,0,22,174
m,>60,nein,Partnerschaft,ja,Samstag,12-14 Uhr,< 10 km,1000-<2000,> 5,90,0,6,10,0,0,0,0,0,0,0,0,0,0,0,84
w,31-40,ja,Partnerschaft,ja,Montag,>17 Uhr,> 25 km,1000-<2000,> 5,749,0,8,18,0,30,0,0,0,0,0,360,12,0,0,369
w,31-40,nein,Partnerschaft,ja,Freitag,>17 Uhr,< 10 km,2000-<3200,1 bis 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,18-30,nein,ledig,ja,Freitag,<10 Uhr,10 - 25 km,>4500,> 5,129,0,0,0,35,0,86,0,240,186,90,0,0,0,38,0
m,18-30,nein,Partnerschaft,nein,Donnerstag,<10 Uhr,< 10 km,1000-<2000,> 5,453,0,21,16,0,105,0,0,138,8,0,52,18,0,0,216
m,>60,nein,Partnerschaft,ja,Montag,12-14 Uhr,< 10 km,<1000,> 5,435,0,6,11,3,0,44,0,218,25,153,0,0,0,38,0
m,31-40,ja,ledig,ja,Samstag,>17 Uhr,< 10 km,3200-<4500,> 5,36,0,18,11,0,123,0,0,0,0,0,0,18,0,0,0
m,31-40,nein,ledig,ja,Samstag,<10 Uhr,< 10 km,2000-<3200,> 5,149,0,1,18,0,0,0,0,0,130,0,0,0,0,0,0
m,31-40,ja,ledig,ja,Donnerstag,10-12 Uhr,10 - 25 km,1000-<2000,1 bis 5,24,0,0,0,24,0,206,0,138,0,0,0,0,0,0,0
w,>60,nein,Partnerschaft,nein,Donnerstag,>17 Uhr,10 - 25 km,<1000,> 5,312,60,0,0,11,0,21,192,315,0,49,0,0,0,29,0
m,18-30,nein,ledig,ja,Mittwoch,>17 Uhr,< 10 km,3200-<4500,1 bis 5,475,82,8,8,0,0,0,0,0,0,0,0,46,0,0,327
m,18-30,nein,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,3200-<4500,1 bis 5,346,0,12,30,0,9,0,0,0,0,0,0,72,0,0,262
m,31-40,ja,ledig,ja,Dienstag,12-14 Uhr,> 25 km,3200-<4500,> 5,564,73,12,24,0,20,0,0,0,94,243,122,66,0,66,40
m,31-40,ja,Partnerschaft,ja,Montag,10-12 Uhr,< 10 km,<1000,> 5,447,0,0,0,0,0,0,0,0,78,0,156,0,0,0,213
m,18-30,nein,Partnerschaft,ja,Freitag,10-12 Uhr,10 - 25 km,2000-<3200,> 5,333,0,18,36,21,22,132,0,0,234,0,0,0,0,0,0
m,41-50,nein,ledig,ja,Freitag,10-12 Uhr,< 10 km,>4500,1 bis 5,157,0,5,11,84,0,0,0,318,0,0,0,36,0,0,32
m,>60,ja,Partnerschaft,ja,Donnerstag,>17 Uhr,< 10 km,1000-<2000,0,293,0,4,6,0,64,0,0,0,135,0,135,19,0,0,0
w,18-30,ja,Partnerschaft,nein,Samstag,>17 Uhr,< 10 km,2000-<3200,0,442,0,0,0,72,0,164,0,0,3,165,176,0,29,52,0
m,18-30,ja,ledig,ja,Montag,<10 Uhr,< 10 km,1000-<2000,1 bis 5,142,0,24,21,0,24,0,0,0,180,67,0,0,0,48,0
m,18-30,ja,ledig,ja,Samstag,<10 Uhr,< 10 km,>4500,> 5,270,0,21,21,84,0,0,0,69,165,0,0,0,0,0,0
m,31-40,ja,ledig,nein,Montag,>17 Uhr,10 - 25 km,3200-<4500,> 5,233,0,0,0,0,0,0,0,0,70,0,0,9,0,0,154
w,31-40,nein,ledig,ja,Mittwoch,>17 Uhr,< 10 km,>4500,> 5,307,0,10,13,0,57,0,0,0,38,146,0,10,0,63,141
m,41-50,nein,Partnerschaft,ja,Dienstag,12-14 Uhr,> 25 km,1000-<2000,> 5,489,0,6,9,18,0,0,8,0,0,0,124,0,0,0,333
m,18-30,nein,Partnerschaft,ja,Montag,>17 Uhr,< 10 km,1000-<2000,> 5,584,0,10,39,0,3,0,0,0,100,27,0,0,0,126,447
w,18-30,nein,Partnerschaft,ja,Dienstag,>17 Uhr,< 10 km,1000-<2000,1 bis 5,293,54,5,33,0,72,0,0,0,0,0,0,81,0,0,153
m,31-40,nein,Partnerschaft,nein,Donnerstag,12-14 Uhr,< 10 km,2000-<3200,0,419,0,6,0,50,0,64,0,0,0,39,0,0,0,42,0
m,51-60,nein,Partnerschaft,ja,Dienstag,14-17 Uhr,< 10 km,2000-<3200,1 bis 5,229,0,0,26,0,75,57,0,0,0,0,0,0,0,0,71
m,31-40,nein,Partnerschaft,ja,Samstag,<10 Uhr,10 - 25 km,<1000,1 bis 5,296,0,0,0,68,0,74,0,97,0,36,102,0,0,50,26
w,>60,ja,ledig,nein,Donnerstag,10-12 Uhr,10 - 25 km,2000-<3200,0,278,140,0,0,8,0,214,0,218,0,0,98,32,0,0,0
m,51-60,nein,Partnerschaft,nein,Freitag,<10 Uhr,10 - 25 km,1000-<2000,0,472,56,0,0,81,0,37,0,0,0,0,0,0,0,0,291
w,18-30,ja,ledig,ja,Dienstag,14-17 Uhr,< 10 km,1000-<2000,0,34,0,12,24,0,23,0,0,0,0,0,0,0,0,0,0
m,31-40,ja,Partnerschaft,ja,Freitag,<10 Uhr,< 10 km,>4500,0,289,0,4,10,0,50,0,0,0,65,9,0,0,0,70,86
w,18-30,nein,ledig,ja,Samstag,>17 Uhr,< 10 km,1000-<2000,> 5,76,0,18,21,36,0,0,0,72,0,0,0,0,0,0,0
m,51-60,ja,Partnerschaft,nein,Dienstag,>17 Uhr,< 10 km,<1000,> 5,254,27,4,0,0,7,0,51,0,0,0,172,0,0,0,0
w,31-40,nein,Partnerschaft,nein,Freitag,14-17 Uhr,10 - 25 km,1000-<2000,0,89,0,3,42,0,44,0,0,0,80,0,0,0,0,0,0
w,51-60,ja,Partnerschaft,nein,Samstag,10-12 Uhr,10 - 25 km,>4500,> 5,350,0,12,0,44,102,110,0,384,0,74,0,0,0,20,44
m,18-30,ja,Partnerschaft,ja,Mittwoch,>17 Uhr,10 - 25 km,2000-<3200,1 bis 5,372,0,0,10,18,0,0,0,141,0,34,230,0,0,12,0
m,18-30,nein,ledig,ja,Samstag,10-12 Uhr,< 10 km,1000-<2000,1 bis 5,193,0,0,0,39,0,0,0,183,108,0,46,0,0,0,0
w,41-50,nein,ledig,ja,Montag,12-14 Uhr,> 25 km,1000-<2000,> 5,142,0,11,26,0,0,0,0,0,0,0,108,0,0,0,23
w,>60,ja,ledig,ja,Mittwoch,>17 Uhr,10 - 25 km,1000-<2000,1 bis 5,854,162,5,0,17,13,0,0,180,60,240,258,0,0,54,172
w,18-30,ja,ledig,nein,Samstag,10-12 Uhr,10 - 25 km,>4500,> 5,545,0,0,0,129,0,17,0,327,0,76,172,0,0,30,114
m,51-60,nein,Partnerschaft,ja,Samstag,>17 Uhr,> 25 km,1000-<2000,0,313,0,0,0,102,0,43,0,0,0,0,0,0,118,0,93
m,18-30,nein,Partnerschaft,nein,Samstag,>17 Uhr,10 - 25 km,1000-<2000,> 5,893,0,15,0,102,0,0,130,0,74,126,0,4,0,70,150
m,18-30,nein,ledig,nein,Dienstag,10-12 Uhr,< 10 km,2000-<3200,1 bis 5,148,0,0,0,0,0,0,0,0,0,108,40,0,0,70,0
w,18-30,nein,ledig,nein,Montag,>17 Uhr,< 10 km,2000-<3200,0,304,0,0,0,0,0,0,0,0,90,20,0,0,0,15,224
m,51-60,nein,ledig,nein,Samstag,<10 Uhr,< 10 km,1000-<2000,> 5,169,0,0,0,81,0,0,0,0,0,0,0,0,88,0,0
w,41-50,ja,Partnerschaft,ja,Samstag,>17 Uhr,> 25 km,1000-<2000,> 5,183,0,8,4,22,26,48,0,34,0,0,127,10,0,0,0
w,41-50,nein,Partnerschaft,ja,Montag,12-14 Uhr,< 10 km,1000-<2000,1 bis 5,97,0,4,7,93,108,231,0,18,0,0,0,0,0,0,0
m,41-50,nein,Partnerschaft,ja,Mittwoch,>17 Uhr,10 - 25 km,>4500,0,479,0,0,0,0,0,0,0,0,19,0,232,0,228,0,0
